Ch1(mV[1]),Ch2(mV[0.051]),Ch3(mV[0.06]),Ch4(mV[1]),Ch5(mV[1]),Ch6(mV[1]),Ch7(mV[1]),Ch8(mV[1]),Ch9(mV[1]),Ch10(mV[1]),Ch11(mV[1]),Ch12(mV[1]),Ch13(mV[1]),Ch14(mV[1]),Ch15(mV[1]),Ch16(mV[1]),Ch17(uE[0.4762]),Ch18(uE[0.4762]),Ch19(uE[0.4762]),Ch20(uE[0.4762]),08:55:39 ,28/03/2019 
9994.1,0.579,11.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,504.320,520.415,0.000,-43.334, 2.72195095486119E-02 ,
9994.5,0.579,11.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,519.744,537.177,43.334,0.000, 2.75558810763901E-02 ,
9994.5,0.646,11.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,533.820,551.930,0.000,42.858, 2.79058159722219E-02 ,
9994.5,0.662,12.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,548.582,567.354,0.000,42.858, 2.82557508680554E-02 ,
9994.5,0.662,12.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,564.007,584.116,0.000,0.000, 2.86083984375001E-02 ,
9994.5,0.662,12.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,578.759,596.864,0.000,0.000, 2.89583333333336E-02 ,
9994.5,0.745,13.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,595.526,616.312,43.334,42.858, 2.93082682291672E-02 ,
9994.5,0.745,13.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,612.293,631.736,-42.858,0.000, 0.029661458333333 ,
9994.5,0.745,13.824,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,627.717,648.508,-128.574,42.858, 3.00282118055559E-02 ,
9994.5,0.811,14.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,643.141,663.256,0.000,0.000, 3.03781467013895E-02 ,
9994.5,0.811,14.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,660.575,682.033,-42.858,42.858, 3.07139756944448E-02 ,
9994.5,0.811,14.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,673.990,695.452,43.334,0.000, 3.10639105902784E-02 ,
9994.5,0.811,15.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,692.771,714.900,0.000,42.858, 3.14138454861119E-02 ,
9994.5,0.877,15.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,707.524,730.324,43.334,42.858, 3.17670355902777E-02 ,
9994.5,0.877,15.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,724.957,748.424,0.000,42.858, 3.21169704861113E-02 ,
9994.5,0.877,16.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,742.391,765.868,-42.858,0.000, 3.24669053819449E-02 ,
9994.5,0.943,16.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,756.477,780.620,0.000,42.858, 3.28195529513895E-02 ,
9994.5,0.960,17.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,774.587,799.402,0.000,42.858, 3.31694878472231E-02 ,
9994.5,0.960,17.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,792.687,818.226,0.000,42.858, 3.35194227430566E-02 ,
9994.5,0.960,17.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,810.797,834.264,0.000,42.858, 3.38726128472224E-02 ,
9994.5,1.026,18.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,828.231,851.036,0.000,0.000, 3.42057291666666E-02 ,
9994.5,1.026,18.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,847.012,872.494,0.000,42.858, 3.45583767361113E-02 ,
9994.5,1.026,19.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,863.774,887.918,0.000,0.000, 3.49083116319449E-02 ,
9994.1,1.042,19.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,881.884,908.037,-42.858,0.000, 3.52587890624996E-02 ,
9994.5,1.109,19.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,901.332,926.147,-42.858,-43.334, 3.56114366319442E-02 ,
9994.1,1.109,20.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,920.114,946.324,-42.858,-43.334, 3.59472656250013E-02 ,
9994.5,1.109,20.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,936.885,963.710,-42.858,0.000, 3.62972005208331E-02 ,
9994.5,1.175,21.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,955.657,981.139,0.000,0.000, 3.66476779513896E-02 ,
9994.1,1.175,21.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,972.419,1002.601,-42.858,0.000, 3.70003255208342E-02 ,
9994.5,1.175,21.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,990.529,1016.682,0.000,0.000, 3.73502604166678E-02 ,
9994.5,1.175,22.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1010.649,1037.473,-42.858,42.858, 3.77001953124996E-02 ,
9994.5,1.258,22.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1030.097,1058.259,0.000,0.000, 3.80528428819442E-02 ,
9994.5,1.258,23.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1049.550,1075.031,43.334,0.000, 3.84027777777778E-02 ,
9994.5,1.258,23.495,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1070.336,1098.498,0.000,42.858, 3.87527126736114E-02 ,
9994.5,1.291,24.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1088.446,1115.941,-42.858,0.000, 3.90890842013896E-02 ,
9994.5,1.324,24.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1108.565,1135.389,0.000,0.000, 3.94390190972231E-02 ,
9994.1,1.324,24.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1125.999,1153.490,0.000,42.858, 3.97916666666678E-02 ,
9994.1,1.324,25.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1146.785,1172.943,43.334,42.858, 4.01416015624996E-02 ,
9994.5,1.407,25.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1164.219,1191.052,-42.858,42.858, 4.04920789930561E-02 ,
9994.5,1.407,25.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1182.328,1209.153,-86.192,-43.334, 4.08279079861114E-02 ,
9994.5,1.407,26.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1201.781,1228.601,-42.858,-43.334, 0.041180555555556 ,
9994.5,1.456,26.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1217.872,1245.368,0.000,0.000, 4.15304904513896E-02 ,
9994.5,1.473,27.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1240.011,1264.816,43.334,0.000, 4.18809678819443E-02 ,
9994.5,1.473,27.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1255.435,1282.254,-42.858,42.858, 4.22336154513889E-02 ,
9994.5,1.473,27.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1276.892,1303.721,43.334,42.858, 4.25835503472225E-02 ,
9994.5,1.539,28.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1292.321,1318.474,-42.858,-128.574, 4.29334852430561E-02 ,
9994.1,1.539,24.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1121.303,1156.176,0.000,0.000, 4.32861328125007E-02 ,
9994.1,1.539,25.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1176.295,1211.172,-42.858,0.000, 4.36197916666679E-02 ,
9994.5,1.556,26.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1231.958,1265.487,-42.858,86.192, 0.043986545138889 ,
9994.5,1.622,27.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1278.240,1309.755,0.000,42.858, 4.43223741319443E-02 ,
9994.1,1.622,28.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1319.145,1350.665,0.000,0.000, 4.46723090277779E-02 ,
9994.5,1.622,29.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1337.246,1369.442,0.000,0.000, 4.50249565972225E-02 ,
9994.5,1.688,29.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1355.356,1386.209,0.000,0.000, 0.045375434027779 ,
9994.5,1.688,30.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1376.818,1407.666,0.000,0.000, 4.57112630208343E-02 ,
9994.5,1.688,30.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1398.952,1429.800,-42.858,0.000, 4.60611979166679E-02 ,
9994.5,1.704,31.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1423.090,1452.596,-42.858,0.000, 4.64138454861107E-02 ,
9994.1,1.771,31.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1442.591,1474.058,-42.858,0.000, 4.67778862847226E-02 ,
9994.5,1.771,32.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1464.672,1494.173,-42.858,0.000, 4.71142578125008E-02 ,
9994.5,1.771,32.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1482.106,1512.283,-42.858,0.000, 4.74669053819454E-02 ,
9994.1,1.853,33.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1504.240,1531.735,0.000,42.858, 4.78309461805555E-02 ,
9994.5,1.853,33.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1521.002,1553.193,0.000,0.000, 4.81667751736108E-02 ,
9994.5,1.837,31.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1453.939,1484.792,0.000,0.000, 4.85194227430554E-02 ,
9994.5,1.853,32.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1502.897,1540.445,0.000,86.192, 4.88699001736119E-02 ,
9994.5,1.920,33.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1546.488,1575.322,0.000,0.000, 4.92198350694455E-02 ,
