Element,Node,Fx[N],My[N.m],Mz[N.m]
706,764,168.91,6.21E+03,-0.436694
706,765,168.91,1.82E+03,0.0363029
707,765,147.606,-9.04E+03,0.0362924
707,766,147.606,-1.24E+04,-0.0671555
708,766,137.069,-2.02E+04,-0.0671481
708,731,137.069,-2.24E+04,-3.93E-03
709,763,42.9931,-5.96E+03,-0.284837
709,772,42.9931,-1.46E+04,0.226968
710,772,15.4698,-4.41E+04,0.226749
710,773,15.4698,-4.50E+04,-0.112934
711,773,9.67964,-3.53E+04,-0.113003
711,774,9.67964,-3.10E+04,0.342544
712,774,-11.3638,1.83E+04,0.342986
712,771,-11.3638,2.97E+04,-0.558997
713,739,157.485,-4.24E+04,0.0214429
713,779,157.485,-4.00E+04,0.0179087
714,779,172.142,-2.35E+04,0.0179208
714,780,172.142,-1.94E+04,-0.0116546
715,780,200.616,4.98E+03,-0.011675
715,781,200.616,1.05E+04,0.217626
716,781,249.187,4.63E+04,0.217755
716,771,249.187,5.45E+04,-0.486333
733,763,-10.0331,2.31E+04,-0.952074
733,796,-10.0331,1.72E+04,0.542177
734,796,8.47279,2.45E+03,0.542057
734,797,8.47279,-2.32E+03,2.38E-03
735,797,27.0325,-1.39E+04,2.41E-03
735,798,27.0325,-1.76E+04,0.0771544
736,798,46.7734,-2.58E+04,0.0771888
736,795,46.7734,-2.84E+04,-0.0850497
737,795,-3.25965,-1.29E+04,-0.143766
737,804,-3.25965,-1.69E+04,0.0563639
738,804,3.91077,-3.29E+04,0.0561763
738,805,3.91077,-3.38E+04,0.0480299
739,805,8.37551,-2.42E+04,0.0480513
739,806,8.37551,-2.04E+04,0.0437955
740,806,9.64347,8.91E+03,0.0439995
740,803,9.64347,1.38E+04,-0.144637
741,771,-94.8189,5.00E+04,-0.497859
741,811,-94.8189,4.14E+04,0.221029
742,811,-42.1889,3.16E+03,0.220897
742,812,-42.1889,-2.85E+03,-0.012388
743,812,-5.14705,-2.98E+04,-0.0123675
743,813,-5.14705,-3.44E+04,0.0187675
744,813,23.6413,-5.35E+04,0.0187551
744,803,23.6413,-5.64E+04,0.022856
761,827,161.231,1.24E+04,0.392035
761,828,161.231,7.60E+03,-0.0279413
762,828,123.766,-5.87E+03,-0.0278842
762,829,123.766,-9.41E+03,0.065408
763,829,93.6495,-1.92E+04,0.0654113
763,830,93.6495,-2.17E+04,0.0195955
764,830,68.5495,-2.80E+04,0.019631
764,795,68.5495,-2.94E+04,-0.0587509
765,827,13.08,-1.13E+03,-0.40829
765,836,13.08,-8.66E+03,0.319296
766,836,-26.8074,-2.70E+04,0.31911
766,837,-26.8074,-2.86E+04,-0.103056
767,837,-23.5949,-2.33E+04,-0.103061
767,838,-23.5949,-1.75E+04,0.339833
768,838,17.7189,8.89E+03,0.340053
768,835,17.7189,1.84E+04,-0.53522
769,803,50.2785,-5.99E+04,4.02E-03
769,843,50.2785,-5.83E+04,0.01609
770,843,79.5037,-4.65E+04,0.0160857
770,844,79.5037,-4.35E+04,7.09E-03
771,844,115.776,-2.43E+04,7.08E-03
771,845,115.776,-1.99E+04,0.0932782
772,845,163.44,1.09E+04,0.0933302
772,835,163.44,1.80E+04,-0.0923032
789,667,9.75872,1.66E+04,0.101096
789,860,9.75872,1.27E+04,-0.0381398
790,860,16.6276,-9.42E+03,-0.0379955
790,861,16.6276,-1.21E+04,-0.0492053
791,861,18.5783,-1.28E+04,-0.0492159
791,862,18.5783,-1.03E+04,-0.0456085
792,862,14.8714,1.11E+04,-0.0458206
792,859,14.8714,1.49E+04,0.153451
793,867,191.916,1.70E+04,0.0519903
793,868,191.916,1.02E+04,-0.0418588
