Element,Node,Fx[N],My[N.m],Mz[N.m]
569,458,5.10E+01,5.99E+03,-0.330308
569,611,5.10E+01,4.00E+03,0.0963973
570,611,9.69E+01,-7.94E+03,0.0959311
570,612,9.69E+01,-9.51E+03,0.115596
571,612,7.84E+01,-1.36E+04,0.115553
571,613,7.84E+01,-1.32E+04,0.114335
572,613,1.11E+01,-6.85E+03,0.114745
572,610,1.11E+01,-5.21E+03,-0.305775
573,586,2.43E+02,1.04E+04,7.42066
573,618,2.43E+02,7.92E+03,-3.34542
574,618,1.88E+02,1.59E+03,-3.34442
574,619,1.88E+02,-442.271,0.0950381
575,619,1.75E+02,-5.38E+03,0.0948948
575,620,1.75E+02,-6.99E+03,-0.400345
576,620,1.92E+02,-1.06E+04,-0.40037
576,610,1.92E+02,-1.17E+04,-0.015004
593,482,1.98E+02,8.06E+03,-2.75856
593,635,1.98E+02,3.95E+03,1.62876
594,635,6.21E-01,-6.96E+03,1.62765
594,636,6.21E-01,-9.36E+03,-0.508765
595,636,2.42E+01,-1.18E+04,-0.508608
595,637,2.42E+01,-1.12E+04,1.28502
596,637,2.69E+02,-4.54E+03,1.28606
596,634,2.69E+02,-1.68E+03,-2.36562
597,610,2.39E+02,-1.24E+04,-0.320857
597,642,2.39E+02,-1.19E+04,-0.150897
598,6.42E+02,3.16E+02,-9.71E+03,-0.151009
598,6.43E+02,3.16E+02,-8.80E+03,0.0882446
599,6.43E+02,4.27E+02,-5.27E+03,0.0882534
599,6.44E+02,4.27E+02,-3.95E+03,-1.4413
600,6.44E+02,5.91E+02,1.00E+03,-1.4419
600,6.34E+02,5.91E+02,2.80E+03,2.3668
617,658,7.93E+01,5.26E+03,-0.198125
617,660,7.93E+01,3.30E+03,0.0166611
618,660,6.11E+01,-2.21E+03,0.0166326
618,661,6.11E+01,-3.66E+03,-0.0319077
619,661,4.66E+01,-7.67E+03,-0.0319088
619,662,4.66E+01,-8.72E+03,-8.94E-03
620,662,3.47E+01,-1.13E+04,-8.95E-03
620,659,3.47E+01,-1.19E+04,0.0272163
621,659,-1.30E+00,-5.15E+03,0.0655429
621,668,-1.30E+00,-6.78E+03,-0.0256176
622,668,2.88E+00,-1.32E+04,-0.0255318
622,669,2.88E+00,-1.36E+04,-0.0219679
623,669,5.07E+00,-9.86E+03,-0.0219767
623,670,5.07E+00,-8.34E+03,-0.0209135
624,670,5.08E+00,3.32E+03,-0.0210067
