Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
402,442,401.5,-0.105341,-1.88E+04,0.0705194
402,443,401.5,-0.105341,-1.50E+04,-0.0211061
403,443,412.47,-1.46659,7.26E+03,-0.0211132
403,444,412.47,-1.46659,1.23E+04,0.748801
404,444,434.625,-0.296255,4.50E+04,0.749291
404,434,434.625,-0.296255,5.24E+04,-1.63976
421,306,101.311,0.642588,1.20E+04,-0.691682
421,459,101.311,0.642588,8.81E+03,0.221846
422,459,211.532,0.689651,-8.95E+03,0.220871
422,460,211.532,0.689651,-1.10E+04,0.276351
423,460,216.351,-0.804972,-9.36E+03,0.276366
423,461,216.351,-0.804972,-6.85E+03,0.226921
424,461,111.444,-0.560012,1.32E+04,0.227971
424,458,111.444,-0.560012,1.67E+04,-0.752817
425,434,401.145,-0.581791,5.13E+04,-1.64243
425,466,401.145,-0.581791,4.30E+04,0.750148
426,466,446.985,0.671581,6.30E+03,0.74966
426,467,446.985,0.671581,518.186,-0.0216173
427,467,511.776,-0.569279,-2.56E+04,-0.0216044
427,468,511.776,-0.569279,-3.01E+04,0.0684967
428,468,602.348,-0.410671,-4.89E+04,0.0684385
428,458,602.348,-0.410671,-5.19E+04,0.0592016
445,330,344.601,1.25812,1.50E+04,-5.67529
445,483,344.601,1.25812,7.95E+03,3.50283
446,483,-53.3285,0.588537,-9.99E+03,3.50061
446,484,-53.3285,0.588537,-1.33E+04,-1.33168
447,484,-61.1451,0.287011,-1.21E+04,-1.33174
447,485,-61.1451,0.287011,-7.87E+03,3.65127
448,485,327.034,-0.891389,1.27E+04,3.65354
448,482,327.034,-0.891389,2.07E+04,-5.8024
449,458,745.551,-0.288039,-5.64E+04,0.0466297
449,490,745.551,-0.288039,-5.52E+04,0.0595033
450,490,965.943,8.50E-03,-4.58E+04,0.0595393
450,491,965.943,8.50E-03,-4.33E+04,0.0212802
451,491,1.29E+03,-1.07246,-2.76E+04,0.0212939
451,492,1.29E+03,-1.07246,-2.40E+04,0.410356
452,492,1.76E+03,-0.0420394,1.30E+03,0.410625
452,482,1.76E+03,-0.0420394,7.24E+03,-0.434617
469,354,117.363,-1.12978,1.35E+04,0.740247
469,507,117.363,-1.12978,9.09E+03,-0.219163
470,507,221.942,-1.33017,-1.75E+04,-0.218117
470,508,221.942,-1.33017,-2.10E+04,-0.263698
471,508,179.639,0.696032,-3.02E+04,-0.263613
471,509,179.639,0.696032,-2.94E+04,-0.25955
472,509,24.4827,2.4195,-1.52E+04,-0.26051
